敏感词,分类代码,分类说明
习家军,A.1,违反核心价值观(政治敏感/反动)
买卖枪支,A.3,商业违法违规(违禁品/枪支)
买卖迷药,A.3,商业违法违规(违禁品/毒品)
买官卖官,A.1,违反核心价值观(政治敏感/腐败)
买春,A.1,违反核心价值观(淫秽色情/非法交易)
乱伦,A.1,违反核心价值观(淫秽色情/乱伦)
于幼军,A.1,违反核心价值观(政治敏感/官员)
云南联富,A.3,商业违法违规(非法商业/诈骗)
云雨,A.1,违反核心价值观(淫秽色情/低俗)
互舔,A.1,违反核心价值观(淫秽色情/低俗)
五月天,A.1,违反核心价值观(淫秽色情/色情网站)
五毛,A.1,违反核心价值观(政治敏感/网络术语)
亚情,A.1,违反核心价值观(淫秽色情/色情网站)
亚洲色图,A.1,违反核心价值观(淫秽色情/低俗)
交媾,A.1,违反核心价值观(淫秽色情/低俗)
交警,A.5,无法满足特定服务类型的安全需求(职业/可能误伤)
人权,A.1,违反核心价值观(政治敏感/意识形态)
人民报,A.1,违反核心价值观(政治敏感/反动媒体)
人民日报,A.1,违反核心价值观(政治敏感/媒体)
人体艺术,A.1,违反核心价值观(淫秽色情/低俗)
人肉搜索,A.4,侵犯他人合法权益(隐私)
人行,A.5,无法满足特定服务类型的安全需求(通用词)
什叶派,A.1,违反核心价值观(宗教/可能涉及冲突)
仁波切,A.1,违反核心价值观(宗教/可能涉及藏独)
仇华,A.1,违反核心价值观(政治敏感/反动)
今后打炮花钱,A.1,违反核心价值观(淫秽色情/低俗)
介绍卖淫,A.3,商业违法违规(欺诈/非法色情服务)
从政,A.5,无法满足特定服务类型的安全需求(通用词)
仓井空,A.1,违反核心价值观(淫秽色情/AV女优)
他妈的,A.2,包含歧视性内容(侮辱谩骂)
付申奇,A.1,违反核心价值观(政治敏感/异见人士)
代办,A.3,商业违法违规(欺诈/非法业务)
代办证件,A.3,商业违法违规(欺诈/伪造证件)
代考,A.3,商业违法违规(欺诈/考试作弊)
代考英语,A.3,商业违法违规(欺诈/考试作弊)
令人发指,A.5,无法满足特定服务类型的安全需求(通用词)
令计划,A.1,违反核心价值观(政治敏感/落马官员)
以权谋私,A.1,违反核心价值观(政治敏感/腐败)
伊斯兰,A.1,违反核心价值观(宗教/特定语境敏感)
伊扎布特,A.1,违反核心价值观(政治敏感/恐怖主义)
伍绍祖,A.1,违反核心价值观(政治敏感/官员)
会道门,A.1,违反核心价值观(邪教)
伟哥,A.3,商业违法违规(违禁品/药品)
伪钞,A.3,商业违法违规(欺诈/伪造货币)
伦敦西藏网,A.1,违反核心价值观(政治敏感/分裂国家)
低俗,A.1,违反核心价值观(淫秽色情/文化监管)
住建部,A.1,违反核心价值观(政治敏感/政府机构)
何勇,A.1,违反核心价值观(政治敏感/官员)
何厚铧,A.1,违反核心价值观(政治敏感/官员)
余杰,A.1,违反核心价值观(政治敏感/异见人士)
佛像,A.5,无法满足特定服务类型的安全需求(宗教/通用)
佛教,A.1,违反核心价值观(宗教/特定语境敏感)
作弊,A.3,商业违法违规(欺诈/行为)
作爱,A.1,违反核心价值观(淫秽色情/低俗)
你妈,A.2,包含歧视性内容(侮辱谩骂)
佳静安定片,A.3,商业违法违规(违禁品/毒品)
侦探,A.4,侵犯他人合法权益(隐私)
侦探设备,A.4,侵犯他人合法权益(隐私器材)
供产党,A.1,违反核心价值观(政治敏感/反动变体)
侯德建,A.1,违反核心价值观(政治敏感/历史人物)
侵略,A.1,违反核心价值观(政治敏感/历史)
保钓,A.1,违反核心价值观(政治敏感/社会运动)
信访,A.1,违反核心价值观(政治敏感/社会民生)
修练,A.1,违反核心价值观(邪教/法轮功)
修炼,A.1,违反核心价值观(邪教/法轮功)
俯卧撑,A.1,违反核心价值观(社会民生/瓮安事件隐喻)
倒台,A.1,违反核心价值观(政治敏感/反动)
借腹生子,A.3,商业违法违规(违背伦理/非法交易)
假币,A.3,商业违法违规(欺诈/伪造货币)
假文凭,A.3,商业违法违规(欺诈/伪造证件)
假条,A.3,商业违法违规(欺诈/伪造证件)
假证,A.3,商业违法违规(欺诈/伪造证件)
假钞,A.3,商业违法违规(欺诈/伪造货币)
偏激,A.5,无法满足特定服务类型的安全需求(通用词)
做爱,A.1,违反核心价值观(淫秽色情/低俗)
做鸡,A.1,违反核心价值观(淫秽色情/侮辱)
做鸭,A.1,违反核心价值观(淫秽色情/侮辱)
偷拍,A.4,侵犯他人合法权益(隐私)
偷税,A.3,商业违法违规(违法/经济犯罪)
偷窥,A.4,侵犯他人合法权益(隐私)
傅全有,A.1,违反核心价值观(政治敏感/军方)
催情,A.1,违反核心价值观(淫秽色情/低俗)
催情水,A.3,商业违法违规(违禁品/毒品)
催情药,A.3,商业违法违规(违禁品/毒品)
傲慢,A.5,无法满足特定服务类型的安全需求(通用词)
傻B,A.2,包含歧视性内容(侮辱谩骂)
傻逼,A.2,包含歧视性内容(侮辱谩骂)
僵尸,A.5,无法满足特定服务类型的安全需求(通用词)
元老,A.1,违反核心价值观(政治敏感/党政)
充气娃娃,A.1,违反核心价值观(淫秽色情/成人用品)
充气艳妇,A.1,违反核心价值观(淫秽色情/低俗)
免费A片,A.1,违反核心价值观(淫秽色情/色情网站)
先奸后杀,A.1,违反核心价值观(暴力/恐怖)
党,A.1,违反核心价值观(政治敏感/党政)
党中央,A.1,违反核心价值观(政治敏感/党政)
党内,A.1,违反核心价值观(政治敏感/党政)
党国,A.1,违反核心价值观(政治敏感/反动)
党政,A.1,违反核心价值观(政治敏感/党政)
党校,A.1,违反核心价值观(政治敏感/机构)
党魁,A.1,违反核心价值观(政治敏感/反动)
入党,A.1,违反核心价值观(政治敏感/党政)
全能神,A.1,违反核心价值观(邪教)
全裸,A.1,违反核心价值观(淫秽色情/低俗)
八九,A.1,违反核心价值观(政治敏感/历史事件)
八九学潮,A.1,违反核心价值观(政治敏感/历史事件)
八九民运,A.1,违反核心价值观(政治敏感/历史事件)
公仆,A.1,违反核心价值观(政治敏感/官员)
公安,A.1,违反核心价值观(政治敏感/机构)
公安局,A.1,违反核心价值观(政治敏感/机构)
公审,A.1,违反核心价值观(政治敏感/司法)
公款,A.1,违反核心价值观(政治敏感/反腐)
公款吃喝,A.1,违反核心价值观(政治敏感/反腐)
公款旅游,A.1,违反核心价值观(政治敏感/反腐)
公务员,A.5,无法满足特定服务类型的安全需求(通用词/职业)
公海赌船,A.3,商业违法违规(赌博)
六合彩,A.3,商业违法违规(赌博)
六四,A.1,违反核心价值观(政治敏感/历史事件)
六四事件,A.1,违反核心价值观(政治敏感/历史事件)
六四惨案,A.1,违反核心价值观(政治敏感/历史事件)
共产,A.1,违反核心价值观(政治敏感/意识形态)
共产党,A.1,违反核心价值观(政治敏感/党政)
共匪,A.1,违反核心价值观(政治敏感/反动)
共军,A.1,违反核心价值观(政治敏感/反动)
共奴,A.2,包含歧视性内容(政治侮辱)
共狗,A.2,包含歧视性内容(政治侮辱)
共荣圈,A.1,违反核心价值观(政治敏感/历史)
关押,A.1,违反核心价值观(政治敏感/司法)
兼职,A.3,商业违法违规(非法广告/色情服务暗示)
内射,A.1,违反核心价值观(淫秽色情/低俗)
内斗,A.1,违反核心价值观(政治敏感/党政)
内衣,A.5,无法满足特定服务类型的安全需求(通用词/色情擦边)
冒险岛外挂,A.3,商业违法违规(网络黑产/外挂)
军委,A.1,违反核心价值观(政治敏感/军方)
军妓,A.1,违反核心价值观(淫秽色情/历史)
军队,A.1,违反核心价值观(政治敏感/军方)
军火,A.3,商业违法违规(违禁品/武器)
军用手枪,A.3,商业违法违规(违禁品/枪支)
军长发威,A.1,违反核心价值观(政治敏感/事件)
冰毒,A.3,商业违法违规(违禁品/毒品)
冲锋枪,A.3,商业违法违规(违禁品/枪支)
凌迟,A.1,违反核心价值观(暴力/酷刑)
凌锋,A.1,违反核心价值观(政治敏感/评论员)
凉山,A.5,无法满足特定服务类型的安全需求(地名/可能误伤)
减少,A.5,无法满足特定服务类型的安全需求(通用词)
几乎,A.5,无法满足特定服务类型的安全需求(通用词)
几吧,A.1,违反核心价值观(淫秽色情/低俗)
凡人修仙传,A.5,无法满足特定服务类型的安全需求(小说名/可能误伤)
凤姐,A.1,违反核心价值观(社会民生/网红)
凯迪,A.1,违反核心价值观(政治敏感/论坛)
出台,A.1,违反核心价值观(淫秽色情/色情服务)
出售,A.3,商业违法违规(非法广告/交易)
出售K粉,A.3,商业违法违规(违禁品/毒品)
出售冰毒,A.3,商业违法违规(违禁品/毒品)
出售发票,A.3,商业违法违规(欺诈/非法财务)
出售手枪,A.3,商业违法违规(违禁品/枪支)
出售枪支,A.3,商业违法违规(违禁品/枪支)
出售答案,A.3,商业违法违规(欺诈/考试作弊)
出卖,A.5,无法满足特定服务类型的安全需求(通用词)
击毙,A.1,违反核心价值观(暴力)
刁进平,A.1,违反核心价值观(政治敏感/领导人谐音)
刀具,A.3,商业违法违规(违禁品/管制刀具)
切听器,A.4,侵犯他人合法权益(隐私器材)
刑讯逼供,A.1,违反核心价值观(政治敏感/司法黑暗)
划款,A.3,商业违法违规(欺诈/电信诈骗)
刘云山,A.1,违反核心价值观(政治敏感/领导人)
刘华清,A.1,违反核心价值观(政治敏感/领导人)
刘少奇,A.1,违反核心价值观(政治敏感/领导人)
刘延东,A.1,违反核心价值观(政治敏感/领导人)
刘志军,A.1,违反核心价值观(政治敏感/落马官员)
刘晓波,A.1,违反核心价值观(政治敏感/异见人士)
刘淇,A.1,违反核心价值观(政治敏感/官员)
刘项,A.5,无法满足特定服务类型的安全需求(历史人物/可能误伤)
刚刚,A.5,无法满足特定服务类型的安全需求(通用词)
制服诱惑,A.1,违反核心价值观(淫秽色情/低俗)
刺刀,A.3,商业违法违规(违禁品/武器)
削骨,A.1,违反核心价值观(社会民生/整容风险)
前列腺,A.1,违反核心价值观(淫秽色情/医疗广告)
剥夺,A.1,违反核心价值观(政治敏感/人权)
剪刀,A.5,无法满足特定服务类型的安全需求(通用词)
割让,A.1,违反核心价值观(政治敏感/领土)
力作,A.5,无法满足特定服务类型的安全需求(通用词)
办证,A.3,商业违法违规(欺诈/非法广告)
办证刻章,A.3,商业违法违规(欺诈/非法广告)
功友,A.1,违反核心价值观(邪教/法轮功)
功法,A.1,违反核心价值观(邪教/法轮功)
加勒比海盗,A.5,无法满足特定服务类型的安全需求(电影/可能误伤)
助考,A.3,商业违法违规(欺诈/考试作弊)
劫持,A.1,违反核心价值观(暴力/犯罪)
勃起,A.1,违反核心价值观(淫秽色情/低俗)
包二奶,A.1,违反核心价值观(淫秽色情/腐败)
包养,A.1,违反核心价值观(淫秽色情/腐败)
包夜,A.1,违反核心价值观(淫秽色情/色情服务)
北京之春,A.1,违反核心价值观(政治敏感/民运)
北戴河,A.1,违反核心价值观(政治敏感/会议)
医托,A.3,商业违法违规(欺诈/非法医疗)
十八大,A.1,违反核心价值观(政治敏感/会议)
十八摸,A.1,违反核心价值观(淫秽色情/低俗)
十类,A.5,无法满足特定服务类型的安全需求(通用词)
千术,A.3,商业违法违规(赌博/欺诈)
升达,A.5,无法满足特定服务类型的安全需求(学校名/可能误伤)
华国锋,A.1,违反核心价值观(政治敏感/领导人)
华建敏,A.1,违反核心价值观(政治敏感/官员)
单双,A.3,商业违法违规(赌博)
卖淫,A.1,违反核心价值观(淫秽色情/违法行为)
卖肾,A.3,商业违法违规(商业违法/人体器官买卖)
南京大屠杀,A.1,违反核心价值观(政治敏感/历史)
南华早报,A.1,违反核心价值观(政治敏感/媒体)
博彩,A.3,商业违法违规(赌博)
博讯,A.1,违反核心价值观(政治敏感/境外网站)
卜,A.5,无法满足特定服务类型的安全需求(通用词)
卡宾枪,A.3,商业违法违规(违禁品/枪支)
卢跃刚,A.1,违反核心价值观(政治敏感/记者)
卫生部,A.1,违反核心价值观(政治敏感/政府机构)
卫星接收器,A.3,商业违法违规(违禁品/非法设备)
印尼排华,A.1,违反核心价值观(政治敏感/历史事件)
危害国家安全,A.1,违反核心价值观(政治敏感/法律)
危改,A.1,违反核心价值观(政治敏感/社会民生)
卵子,A.3,商业违法违规(非法交易/人体器官)
卷烟,A.3,商业违法违规(非法交易/烟草)
厄运,A.5,无法满足特定服务类型的安全需求(迷信)
原味内衣,A.1,违反核心价值观(淫秽色情/变态)
原子弹,A.3,商业违法违规(违禁品/武器)
去你妈,A.2,包含歧视性内容(侮辱谩骂)
参与,A.5,无法满足特定服务类型的安全需求(通用词)
参考消息,A.1,违反核心价值观(政治敏感/媒体)
双规,A.1,违反核心价值观(政治敏感/反腐)
反动,A.1,违反核心价值观(政治敏感/定性)
反华,A.1,违反核心价值观(政治敏感/意识形态)
反叛,A.1,违反核心价值观(政治敏感/意识形态)
反右,A.1,违反核心价值观(政治敏感/历史)
反响,A.5,无法满足特定服务类型的安全需求(通用词)
反党,A.1,违反核心价值观(政治敏感/反动)
反共,A.1,违反核心价值观(政治敏感/反动)
反弹,A.5,无法满足特定服务类型的安全需求(通用词)
反日,A.1,违反核心价值观(政治敏感/民族主义)
反美,A.1,违反核心价值观(政治敏感/民族主义)
发帖,A.1,违反核心价值观(政治敏感/网络水军)
发愣,A.5,无法满足特定服务类型的安全需求(通用词/法轮功变体)
发票,A.3,商业违法违规(欺诈/非法财务)
发轮,A.1,违反核心价值观(邪教/法轮功变体)
发骚,A.1,违反核心价值观(淫秽色情/低俗)
受贿,A.1,违反核心价值观(政治敏感/腐败)
变态,A.1,违反核心价值观(淫秽色情/低俗)
变牌,A.3,商业违法违规(赌博/作弊)
口交,A.1,违反核心价值观(淫秽色情/低俗)
口活,A.1,违反核心价值观(淫秽色情/低俗)
古柯,A.3,商业违法违规(违禁品/毒品)
古惑仔,A.1,违反核心价值观(暴力/黑社会)
只身,A.5,无法满足特定服务类型的安全需求(通用词)
叫床,A.1,违反核心价值观(淫秽色情/低俗)
叫鸡,A.1,违反核心价值观(淫秽色情/非法服务)
叮丙诺啡,A.3,商业违法违规(违禁品/毒品)
可卡因,A.3,商业违法违规(违禁品/毒品)
可待因,A.3,商业违法违规(违禁品/毒品)
台独,A.1,违反核心价值观(政治敏感/分裂国家)
台盟,A.1,违反核心价值观(政治敏感/党派)
台联,A.1,违反核心价值观(政治敏感/党派)
台湾,A.1,违反核心价值观(政治敏感/地区)
台湾国,A.1,违反核心价值观(政治敏感/分裂国家)
台湾独立,A.1,违反核心价值观(政治敏感/分裂国家)
史莱姆,A.5,无法满足特定服务类型的安全需求(游戏/可能误伤)
叶剑英,A.1,违反核心价值观(政治敏感/领导人)
司徒华,A.1,违反核心价值观(政治敏感/香港政治人物)
吃奶,A.1,违反核心价值观(淫秽色情/低俗)
吃精,A.1,违反核心价值观(淫秽色情/低俗)
合作,A.5,无法满足特定服务类型的安全需求(通用词)
合数,A.3,商业违法违规(赌博)
吉大,A.5,无法满足特定服务类型的安全需求(学校/可能误伤)
吊死,A.1,违反核心价值观(暴力/自杀)
同城一夜情,A.1,违反核心价值观(淫秽色情/低俗)
同居,A.1,违反核心价值观(淫秽色情/低俗)
同志,A.1,违反核心价值观(淫秽色情/同性恋)
名器,A.1,违反核心价值观(淫秽色情/成人用品)
后宫,A.1,违反核心价值观(淫秽色情/小说分类)
后庭,A.1,违反核心价值观(淫秽色情/低俗)
吐血,A.5,无法满足特定服务类型的安全需求(通用词)
向往,A.5,无法满足特定服务类型的安全需求(通用词)
君主,A.5,无法满足特定服务类型的安全需求(通用词)
吞精,A.1,违反核心价值观(淫秽色情/低俗)
吟叫,A.1,违反核心价值观(淫秽色情/低俗)
否认,A.5,无法满足特定服务类型的安全需求(通用词)
含住,A.1,违反核心价值观(淫秽色情/低俗)
含春,A.1,违反核心价值观(淫秽色情/低俗)
听话水,A.3,商业违法违规(违禁品/迷药)
启事,A.5,无法满足特定服务类型的安全需求(通用词)
吴仪,A.1,违反核心价值观(政治敏感/领导人)
吴官正,A.1,违反核心价值观(政治敏感/领导人)
吴帮国,A.1,违反核心价值观(政治敏感/领导人谐音)
吴邦国,A.1,违反核心价值观(政治敏感/领导人)
吸毒,A.3,商业违法违规(违禁品/吸食毒品)
吹箫,A.1,违反核心价值观(淫秽色情/低俗)
吾尔开希,A.1,违反核心价值观(政治敏感/民运人士)
周恩来,A.1,违反核心价值观(政治敏感/领导人)
周永康,A.1,违反核心价值观(政治敏感/落马官员)
呻吟,A.1,违反核心价值观(淫秽色情/低俗)
味精,A.5,无法满足特定服务类型的安全需求(通用词)
呼吁,A.1,违反核心价值观(政治敏感/维权)
命案,A.1,违反核心价值观(暴力/犯罪)
和弦,A.5,无法满足特定服务类型的安全需求(通用词)
和谐,A.1,违反核心价值观(政治敏感/讽刺)
咸网,A.1,违反核心价值观(淫秽色情/网站)
品色,A.1,违反核心价值观(淫秽色情/低俗)
哈嘛,A.1,违反核心价值观(政治敏感/领导人绰号)
哨兵,A.5,无法满足特定服务类型的安全需求(通用词)
唐家璇,A.1,违反核心价值观(政治敏感/官员)
售假,A.3,商业违法违规(欺诈/非法业务)
售枪,A.3,商业违法违规(违禁品/枪支)
商机,A.5,无法满足特定服务类型的安全需求(通用词)
啊,A.5,无法满足特定服务类型的安全需求(通用词)
啪啪啪,A.1,违反核心价值观(淫秽色情/隐晦用语)
善恶有报,A.1,违反核心价值观(邪教/法轮功用语)
喇嘛,A.1,违反核心价值观(政治敏感/藏传佛教)
喜新厌旧,A.5,无法满足特定服务类型的安全需求(通用词)
喝茶,A.1,违反核心价值观(政治敏感/被调查)
单双,A.3,商业违法违规(赌博)
嗨药,A.3,商业违法违规(违禁品/毒品)
嘉门,A.5,无法满足特定服务类型的安全需求(人名/可能误伤)
嗡安,A.1,违反核心价值观(政治敏感/瓮安事件变体)
嘛呢,A.5,无法满足特定服务类型的安全需求(通用词)
嘴巴,A.5,无法满足特定服务类型的安全需求(通用词)
器械,A.3,商业违法违规(违禁品/管制器械)
噩梦,A.5,无法满足特定服务类型的安全需求(通用词)
囚犯,A.1,违反核心价值观(暴力/犯罪)
四川地震,A.1,违反核心价值观(社会民生/敏感事件)
四川独立,A.1,违反核心价值观(政治敏感/分裂国家)
回回,A.2,包含歧视性内容(民族歧视)
回良玉,A.1,违反核心价值观(政治敏感/领导人)
团派,A.1,违反核心价值观(政治敏感/党派)
固定,A.5,无法满足特定服务类型的安全需求(通用词)
国土,A.1,违反核心价值观(政治敏感/领土完整)
国内,A.5,无法满足特定服务类型的安全需求(通用词)
国产,A.5,无法满足特定服务类型的安全需求(通用词)
国安,A.1,违反核心价值观(政治敏感/机构)
国安局,A.1,违反核心价值观(政治敏感/机构)
国徽,A.1,违反核心价值观(政治敏感/国家象征)
国旗,A.1,违反核心价值观(政治敏感/国家象征)
国民党,A.1,违反核心价值观(政治敏感/政党)
国母,A.1,违反核心价值观(政治敏感/特定指代)
国父,A.1,违反核心价值观(政治敏感/特定指代)
国税,A.5,无法满足特定服务类型的安全需求(政府机构)
国家,A.1,违反核心价值观(政治敏感/国家安全)
国家主席,A.1,违反核心价值观(政治敏感/职务)
国家机密,A.1,违反核心价值观(政治敏感/保密)
围攻,A.1,违反核心价值观(暴力/群体事件)
图章,A.3,商业违法违规(欺诈/伪造印章)
圆满,A.1,违反核心价值观(邪教/法轮功用语)
圣战,A.1,违反核心价值观(政治敏感/恐怖主义)
地下,A.3,商业违法违规(非法/隐蔽)
地下六合彩,A.3,商业违法违规(赌博)
地主,A.1,违反核心价值观(政治敏感/历史成分)
地税,A.5,无法满足特定服务类型的安全需求(政府机构)
地震,A.1,违反核心价值观(社会民生/灾害)
坏蛋,A.5,无法满足特定服务类型的安全需求(通用词)
坐台,A.1,违反核心价值观(淫秽色情/色情服务)
坐庄,A.3,商业违法违规(赌博)
